"clusterType","clusterDimensions","cluster","nClusters","nFolios","cumRet","mu","sigma","skew","kurt","maxDD","ir","timingLoss","CPTUtility_100","utilityType"
"hierarchical","cumRet_sigma_skew_kurt",7,8,1243,2.43648443340874,0.0054132850791272,0.033299969388579,-0.841562870417152,7.19603284227253,71.6697289987115,0.165847108911124,-0.312781082257363,0.00164589487530169,"CPTUtility_100"
"hierarchical","cumRet_sigma_skew_kurt",8,8,129,1.88433118768669,0.00353591255044173,0.0136936796986521,1.20720588501761,16.59938828946,15.3539761701214,0.265993245556792,-2.98360655737705,0.00372831770542636,"CPTUtility_100"
"dbScan","cumRet_sigma_skew_kurt",1,13,9322,2.31840476263304,0.00478698029650784,0.0218510203735543,-0.843362331661113,9.72276798111731,38.0679348093164,0.244024141891172,3.46231548144527,0.00292592224404634,"CPTUtility_100"
"dbScan","cumRet_sigma_skew_kurt",10,13,8,2.12830754656418,0.0043415474397343,0.0213904750079406,-0.227652059038332,13.0542074628817,37.9309755930464,0.20344742578614,-2.61065573770492,0.004275245,"CPTUtility_100"
"dbScan","cumRet_sigma_skew_kurt",11,13,9,3.31133336649105,0.00693820825086139,0.0282876424399413,-1.49850866346877,17.357998953621,45.5117178725521,0.245579257730709,-1.32604735883424,0.00568890666666667,"CPTUtility_100"
"dbScan","cumRet_sigma_skew_kurt",7,13,8,2.17211318825011,0.00431075665325426,0.0131914336226503,-2.06821581731144,20.5376052370003,18.4958032147632,0.327948258784741,-3.44262295081967,0.003291143,"CPTUtility_100"
"dbScan","cumRet_sigma_skew_kurt",3,13,12,1.8693548448439,0.00344979537285087,0.00956228975434849,-2.48343330983657,23.0182395266616,12.0996245948837,0.361831321447579,-3.82513661202185,0.00226972041666667,"CPTUtility_100"
"dbScan","cumRet_sigma_skew_kurt",2,13,11,3.77941905116951,0.00801759421052688,0.0386092950577198,-1.15253075932257,13.4739419456365,72.3651872249526,0.207793423770463,0,0.00666978945454545,"CPTUtility_100"
"dbScan","cumRet_sigma_skew_kurt",4,13,32,1.91165224714294,0.00362464583839532,0.0139728692875524,1.37328467309952,16.4633805370862,14.5470049662835,0.265208378968144,-2.98360655737705,0.00388834034375,"CPTUtility_100"
"dbScan","cumRet_sigma_skew_kurt",8,13,9,1.93264916085599,0.00364308106489331,0.0106656322805688,-2.07812757230573,17.7192069489663,13.9342402951505,0.344228474718844,-2.49908925318761,0.00198033588888889,"CPTUtility_100"
"dbScan","cumRet_sigma_skew_kurt",5,13,8,2.73755015520996,0.00604657325496399,0.0331199444479591,-0.969322477290895,14.3943235281395,56.6761063617894,0.182683495840015,0,0.005015183875,"CPTUtility_100"
"dbScan","cumRet_sigma_skew_kurt",6,13,13,1.55190716031613,0.00245565054129553,0.0114276581245339,-0.49152327752365,31.5979664183653,17.5127057252909,0.216585948166441,-2.98360655737705,0.00167084361538462,"CPTUtility_100"
"dbScan","cumRet_sigma_skew_kurt",12,13,7,3.04817141544537,0.00644786320153517,0.0270429133427179,-1.36209329684034,15.4028379239937,43.8376658556643,0.2386074900248,-0.852459016393443,0.00511167371428571,"CPTUtility_100"
"dbScan","cumRet_sigma_skew_kurt",9,13,7,2.44820252583711,0.00503098782440583,0.0174139578061796,-1.46089028680325,19.9997315695948,26.2133044072486,0.289872520668135,-3.11475409836066,0.00438139985714286,"CPTUtility_100"
