folio,CPTUtility_225,CPTUtility_100,CPTUtility_150,crraUtility_1,crraUtility_2,crraUtility_3,crraUtility_5,quadUtility_1,quadUtility_2,quadUtility_3,quadUtility_5
120,-0.005409071,0.00274261,-0.000518062,0.645296407,-0.524507051,-0.137553823,-0.018921054,0.003513076,0.003447249,0.003381422,0.003249768
121,-0.005720294,0.004108673,0.000177086,0.849175017,-0.427767687,-0.091492597,-0.008370895,0.004626319,0.004510959,0.004395599,0.004164879
122,-0.025573817,0.000309334,-0.010043927,0.794444855,-0.451831998,-0.102076077,-0.010419526,0.004333681,0.003736636,0.003139591,0.001945502
123,-0.01240052,0.00217741,-0.003653762,0.857101064,-0.424390582,-0.090053683,-0.008109666,0.004670337,0.004469654,0.004268971,0.003867605
124,-0.012452343,0.001969938,-0.003798974,0.776231457,-0.460136794,-0.105862934,-0.011206961,0.004227793,0.00405672,0.003885647,0.0035435
125,-0.007261043,0.002479154,-0.001416925,0.605864059,-0.54560279,-0.148841202,-0.022153703,0.003297792,0.003224448,0.003151104,0.003004416
126,-0.010147479,0.003051027,-0.002228376,0.84230022,-0.430718636,-0.092759272,-0.008604282,0.004590238,0.004421361,0.004252485,0.003914731
127,-0.005979849,0.003713848,-0.000163631,0.662695258,-0.515460162,-0.132849589,-0.017649013,0.003605798,0.003488133,0.003370469,0.003135139
128,-0.018763138,0.005576291,-0.00415948,1.139421728,-0.320004018,-0.051201286,-0.002621572,0.006221026,0.005588449,0.004955872,0.003690719
129,-0.016575426,0.001896144,-0.005492484,0.944387183,-0.388917833,-0.075628541,-0.005719676,0.005148937,0.004823899,0.004498861,0.003848784
130,-0.007582438,0.002700059,-0.00141294,0.76066112,-0.467357346,-0.109211444,-0.01192714,0.004142551,0.004039651,0.003936751,0.003730952
131,-0.003307104,0.003332457,0.000676632,0.705943016,-0.493642842,-0.121841628,-0.014845382,0.003843829,0.003801668,0.003759507,0.003675186
132,-0.009066905,0.002781779,-0.001957694,0.795540631,-0.451337162,-0.101852617,-0.010373956,0.004334604,0.004192895,0.004051185,0.003767765
133,-0.011849426,2.92E-05,-0.004722236,0.548497187,-0.57781751,-0.166936537,-0.027867807,0.002985148,0.002873623,0.002762099,0.002539051
134,-0.009876533,0.002035757,-0.002729159,0.653414467,-0.520266308,-0.135338516,-0.018316514,0.003558523,0.00339914,0.003239757,0.00292099
135,-0.00735743,0.002892938,-0.001207209,0.751618781,-0.471602513,-0.111204465,-0.012366433,0.00409338,0.004005468,0.003917557,0.003741733
136,-0.016597619,0.002297833,-0.005260348,0.996678908,-0.369103234,-0.068118599,-0.004640143,0.00543626,0.005083823,0.004731386,0.004026512
137,-0.005504003,0.002543651,-0.000675411,0.499734347,-0.606691808,-0.184037475,-0.033869792,0.002719105,0.002666991,0.002614877,0.002510648
138,-0.007499826,0.004000455,-0.000599657,0.878943303,-0.415221443,-0.086204424,-0.007431203,0.004788866,0.004636339,0.004483812,0.004178758
139,-0.01056164,0.004560217,-0.001488526,1.102892677,-0.331909587,-0.055081987,-0.003034025,0.00601832,0.005744871,0.005471421,0.004924522
140,-0.006061298,0.002852011,-0.000713312,0.653213339,-0.520370959,-0.135392967,-0.018331256,0.003555966,0.00349004,0.003424114,0.003292261
141,-0.014280249,0.001645442,-0.004724834,0.894996176,-0.408609161,-0.083480723,-0.006969031,0.004877501,0.004643998,0.004410496,0.003943491
142,-0.014833883,0.002818742,-0.004242308,0.861303105,-0.422611017,-0.089300036,-0.007974496,0.004697357,0.004318676,0.003939995,0.003182633
143,-0.007820018,0.002406972,-0.001683824,0.657969233,-0.517902006,-0.134111244,-0.017985826,0.003582111,0.003495348,0.003408585,0.003235059
144,-0.005601095,0.002526817,-0.000724347,0.669345969,-0.512043361,-0.131094202,-0.01718569,0.003644032,0.003587534,0.003531035,0.003418037
145,-0.007191727,0.003123548,-0.001002562,0.668381825,-0.512537282,-0.131347233,-0.017252096,0.003638536,0.003547978,0.003457419,0.003276302
146,-0.016786304,0.006418326,-0.002863526,1.248341416,-0.286980383,-0.04117887,-0.001695699,0.006826964,0.00615746,0.005487957,0.00414895
147,-0.034385059,0.00013755,-0.013671493,0.880175175,-0.414710258,-0.085992299,-0.007394676,0.004816601,0.003654869,0.002493137,0.000169673
