"clusterMethod","clusterDimension","utility","ust3m","ust10","tips","mbs","agency","usIGCredit","usHYCredit","cmbs","em","intlBond","spx","intlEq","emStock","reit"
"kMeans","ir_skew_kurt","quadUtility_1",0.0494250625203405,0.0570671518928341,0.10530647292636,0.0584105582018196,0.0567887403891315,0.0827820697715879,0.08929921001728,0.0743103305236531,0.0718431544339629,0.0514011960135163,0.0903427431819167,0.0649549135700875,0.0352893082888205,0.112779088268689
"kMeans","cumRet_sigma_skew_kurt","quadUtility_1",0.0124783565141542,0.0229858982052252,0.0375141655690384,0.0234713743289372,0.0307210329109879,0.0392660228590698,0.0787146416525751,0.0427311805673441,0.0684635746949888,0.0241846932586646,0.0625790882341858,0.0476885506011974,0.0812084426421404,0.427992977961491
"hierarchical","ir_skew_kurt","quadUtility_1",0.0582654856963641,0.0365836140762768,0.109641883399503,0.0515343452021949,0.0450974563895834,0.0812753188045615,0.142907706537974,0.0600893947981994,0.157610490140005,0.0381919631670188,0.0698969528463478,0.0477202103070059,0.0263281614120278,0.0748570172229376
"hierarchical","cumRet_sigma_skew_kurt","quadUtility_1",0.0165829484694802,0.029957058177198,0.0382117470959925,0.0320632502353123,0.0333777837470457,0.0411216570955617,0.0894044907844947,0.0398339345214255,0.0654888837232026,0.0286803852044399,0.0732346995161002,0.0484466436202638,0.103734474226663,0.35986204358282
"dbScan","ir_skew_kurt","quadUtility_1",0.0653771314696806,0.0720939467191029,0.0734044849078691,0.066795178310133,0.0685671327620779,0.0733175596534782,0.0754450736906089,0.067656598233722,0.07247460272477,0.0738493780310854,0.0727675931812618,0.0716120255390209,0.0745644991596041,0.0720747956175852
"dbScan","cumRet_sigma_skew_kurt","quadUtility_1",0,0.00141755474138666,0,0,0.00603605505417694,0,0.0188314674972472,0,0.475286661181599,0,0.00438379202546044,0,0.0011185677552765,0.492925901744853
"kMeans","ir_skew_kurt","quadUtility_3",0.0687449833059868,0.0298052705950846,0.0973121865196089,0.0653045766828173,0.0582104883029601,0.0876415327116288,0.178983369424582,0.0551043653679586,0.208822226377664,0.0344128884244968,0.0470247455819254,0.0266327329930219,0.0121355458683018,0.0298650878439625
"kMeans","cumRet_sigma_skew_kurt","quadUtility_3",0.0145026243788804,0.0249766371224023,0.032071767797912,0.0220271547058502,0.0294440332390611,0.03773012872665,0.080746640958171,0.0401768265828494,0.0604531397257833,0.0251009435972844,0.0661145733536426,0.0500227574450667,0.106374822233942,0.410257950132504
"hierarchical","ir_skew_kurt","quadUtility_3",0.0582654856963641,0.0365836140762768,0.109641883399503,0.0515343452021949,0.0450974563895834,0.0812753188045615,0.142907706537974,0.0600893947981994,0.157610490140005,0.0381919631670188,0.0698969528463478,0.0477202103070059,0.0263281614120278,0.0748570172229376
"hierarchical","cumRet_sigma_skew_kurt","quadUtility_3",0.0165829484694802,0.029957058177198,0.0382117470959925,0.0320632502353123,0.0333777837470457,0.0411216570955617,0.0894044907844947,0.0398339345214255,0.0654888837232026,0.0286803852044399,0.0732346995161002,0.0484466436202638,0.103734474226663,0.35986204358282
"dbScan","ir_skew_kurt","quadUtility_3",0.0653771314696806,0.0720939467191029,0.0734044849078691,0.066795178310133,0.0685671327620779,0.0733175596534782,0.0754450736906089,0.067656598233722,0.07247460272477,0.0738493780310854,0.0727675931812618,0.0716120255390209,0.0745644991596041,0.0720747956175852
"dbScan","cumRet_sigma_skew_kurt","quadUtility_3",0,0.00141755474138666,0,0,0.00603605505417694,0,0.0188314674972472,0,0.475286661181599,0,0.00438379202546044,0,0.0011185677552765,0.492925901744853
"kMeans","ir_skew_kurt","quadUtility_5",0.07683207322181,0.0208695338538761,0.083159703950573,0.0653181099259494,0.0573242320603183,0.078524692472959,0.190545041258244,0.0580429575541631,0.250561835318415,0.0246211157187507,0.0359549989845035,0.0218983796877977,0.01090029604918,0.0254470299434597
"kMeans","cumRet_sigma_skew_kurt","quadUtility_5",0.0625550202226334,0.014241328152385,0.0898453861372205,0.048044621114585,0.0398007430968147,0.0526963304858314,0.160721758049004,0.0659375322953707,0.359514652638889,0.0204638381743031,0.0382132100612607,0.0204650285267612,0.00980729592623325,0.0176932551187077
"hierarchical","ir_skew_kurt","quadUtility_5",0.0582654856963641,0.0365836140762768,0.109641883399503,0.0515343452021949,0.0450974563895834,0.0812753188045615,0.142907706537974,0.0600893947981994,0.157610490140005,0.0381919631670188,0.0698969528463478,0.0477202103070059,0.0263281614120278,0.0748570172229376
"hierarchical","cumRet_sigma_skew_kurt","quadUtility_5",0.118941834309882,0.0110073146613296,0.0669774098762224,0.0519127807067249,0.0240902660520096,0.047172009607254,0.155120782370523,0.0127195781838892,0.416455576756253,0.0128244637485291,0.0351973201645988,0.0153290205053627,0.0091159412569683,0.0231357018004534
"dbScan","ir_skew_kurt","quadUtility_5",0.098083223355934,0,0.000899682147428393,0.0976389246216665,0.34611497730948,0.0553290243493393,0.213952172772648,0.167533663194627,0.0112252658853928,0,0,0.00441200048662722,0,0.00481106587685645
"dbScan","cumRet_sigma_skew_kurt","quadUtility_5",0.00824654896536635,0,0.0208082863284896,0,0.0267613258368026,0,0.212553074552367,0.0288139739642954,0.454919784381572,0,7.92114167579171e-06,0.000255527269716064,0,0.247633557559715
